Frequency,Word
459,bacon
180,milk
168,chicken
140,beef
132,juice
119,banana
117,sausage
113,creamer
104,ground
104,cheese
97,diced
95,cream
95,cottage
89,green
88,egg
87,yogurt
84,pork
79,liquid
77,nectar
74,bread
68,broccoli
67,roll
65,orange
65,loin
64,patty
64,eggs
63,water
62,salad
59,msc
57,biscuit
54,marinara
53,heavy
52,tomato
50,tilapia
49,coffee
46,mix
45,apple
44,mayo
44,cucumber
43,napkin
42,pvc
42,potato
42,beans
41,lemonade
40,lettuce
40,fruit
39,danish
39,applesauce
38,otc
38,cup
37,ham
36,non
36,butter
35,dinner
35,cranberry
34,wheat
34,honey
34,breast
33,peaches
31,tea
30,rolls
30,peach
30,bean
29,base
28,sauce
28,peng
28,margarine
28,jelly
28,half
27,white
27,shell
27,pot
27,placemat
26,turkey
26,spinach
26,bananas
24,tissue
23,cocktail
22,sherbet
22,oil
22,flour
22,cheddar
22,carrots
22,BACON
21,dice
21,coleslaw
21,american
20,wipes
20,watermelon
19,toast
19,thigh
19,sour
19,rice
19,ranch
19,pineapple
19,onion
19,mashed
19,french
18,x
18,sliced
18,pearl
18,mandarin
18,link
18,lancets
18,grits
18,celery
17,capri
16,straws
16,paper
16,oz
16,napkins
16,msv
16,lynx
16,fry
16,cocoa
16,asparagus
16,PVC
15,med
15,law
15,carrot
14,salmon
14,roast
14,leaf
14,iceberg
14,grape
14,garlic
14,fresh
14,dreamers
14,Bacon
13,vanilla
13,v
13,raisin
13,pancakes
13,leo
13,copy
12,zucchini
12,towel
12,sugar
12,solid
12,potatoes
12,peanut
12,paw
12,omelet
12,muffin
12,mash
12,gravy
12,dyed
12,brown
11,yeast
11,strawberry
11,punch
11,pancake
11,meatballs
11,honeydew
11,fit
11,container
11,chop
11,NON
10,romaine
10,pv
10,promise
10,power
10,pears
10,pass
10,lancet
10,lactaid
10,fitpluslg
10,catfish
10,cabbage
10,bleach
10,biscuits
10,CHICKEN
9,stew
9,ore
9,mph
9,magic
9,grapefruit
9,english
9,brock
9,MSC
9,CREAMER
8,pudding
8,pear
8,pam
8,ice
8,grapes
8,flounder
8,drift
8,dont
8,cod
8,brow
8,MILK
7,tissues
7,thickened
7,texas
7,tender
7,strawberries
7,soy
7,slice
7,shampoo
7,resource
7,pvbng
7,pullman
7,pollock
7,pepper
7,parkerhouse
7,medplus
7,meat
7,meal
7,lid
7,kit
7,jam
7,ginger
7,fitplusxlg
7,fitplusmd
7,end
7,diet
7,croissant
7,cran
7,cracker
7,chips
7,chip
7,cauliflower
7,bun
7,ale
6,underpass
6,ultrasoft
6,topping
6,strips
6,skim
6,shredded
6,shortening
6,lactose
6,idaho
6,hot
6,horn
6,hamburger
6,germ
6,frank
6,corn
6,club
6,chub
6,chocolate
6,cantaloupe
6,bran
6,babel
6,JUICE
6,GREEN
6,EGG
6,DYNDH
6,DICED
6,BROCCOLI
5,whole
5,whipped
5,whip
5,treat
5,trash
5,tom
5,sweet
5,steak
5,spring
5,rl
5,ring
5,red
5,prune
5,powder
5,pie
5,peas
5,pearls
5,pan
5,olive
5,melatonin
5,mds
5,lie
5,ketchup
5,hash
5,graham
5,foil
5,foam
5,dawn
5,cutlery
5,cups
5,cake
5,bologna
5,blueberry
5,blend
5,and
5,YOGURT
5,Milk
5,BREAD
4,xl
4,wow
4,way
4,veg
4,tropical
4,towels
4,thick
4,syrup
4,soup
4,shred
4,round
4,pimentos
4,pf
4,periwash
4,otcsc
4,oranges
4,okra
4,oatmeal
4,nec
4,moz
4,liner
4,lids
4,lemon
4,kleenex
4,jl
4,j
4,hinge
4,hello
4,heavycream
4,hardboiled
4,hard
4,hang
4,haddock
4,gpc
4,farina
4,erm
4,cuc
4,crackers
4,cost
4,cola
4,chic
4,buds
4,bnb
4,blue
4,bag
